작가명,작가 영문명,작품명,분류,경로 분류,수집년도,소장 미술관,활동국가,국적
이우환,Lee Ufan,Relatum—dialogue,조각,민간기증,2011,구겐하임,"일본, 프랑스, 한국",
이우환,Lee Ufan,From Line,회화,민간기부,2010,뉴욕현대미술관,"일본, 프랑스, 한국",
이우환,Lee Ufan,Work No. 2,판화,민간기부,1975,뉴욕현대미술관,"일본, 프랑스, 한국",
이우환,Lee Ufan,Work No. 3,판화,민간기부,1973,뉴욕현대미술관,"일본, 프랑스, 한국",
이우환,Lee Ufan,Work No. 4B,판화,민간기부,1975,뉴욕현대미술관,"일본, 프랑스, 한국",
이우환,Lee Ufan,Untitled,회화,-,1974,브루클린 미술관,"일본, 프랑스, 한국",
이우환,Lee Ufan,Sketchbook drawing,판화,복합,2019,시카고 미술관,"일본, 프랑스, 한국",
이응노,ung-no lee,Composition,회화,작가기증,1960,뉴욕현대미술관,"프랑스, 한국",
이응노,ung-no lee,Sailing,회화,민간기부,1958,뉴욕현대미술관,"프랑스, 한국",
이응노,ung-no lee,Mountains,회화,민간기부,1958,뉴욕현대미술관,"프랑스, 한국",
이일,Il Lee,"Hanro M3, M4, M5, M6",판화,민간기부,2012,메트로폴리탄,,
이일,Il Lee,Untitled 303,드로잉,복합,2016,메트로폴리탄,,
이재규 외,"Jay Kyu Lee(Melodie McDaniel, Jay Kyu Lee, Jazz Lee Alston)",Love...Never That,비디오,-,2003,뉴욕현대미술관,,
이재효,Jaehyo Lee,Nail and Wood,조각,민간기금,2008,허버트 존슨 미술관,한국,
이정진,Jungjin Lee,[Sole of Tennis Shoe],사진,작가기증,1993,메트로폴리탄,미국,
이정진,Jungjin Lee,Wind 04-54,사진,민간기증,2009,메트로폴리탄,미국,
이정진,Jungjin Lee,The American Desert II-2,사진,작가기증,1994,메트로폴리탄,미국,
이정진,Jungjin Lee,[Cancelled Postage Stamps],사진,복합,1993,메트로폴리탄,미국,
이정진,Jungjin Lee,The American Desert III-7,사진,공공기부,1994,메트로폴리탄,미국,
이정진,Jungjin Lee,The American Desert II-9,사진,복합,1994,메트로폴리탄,미국,
이정진,Jungjin Lee,The American Desert II-7,사진,복합,1994,메트로폴리탄,미국,
이정진,Jungjin Lee,Wind 04-49,사진,복합,2009,메트로폴리탄,미국,
이정진,Jungjin Lee,Wind 03-23,사진,복합,2009,메트로폴리탄,미국,
이정진,Jungjin Lee,The American Desert II-6,사진,민간기증,2003,휘트니 미술관,미국,
이중섭,Joong Seop Lee,Family in Paradise (Number 50),회화,민간기증,1956,뉴욕현대미술관,한국,
이중섭,Joong Seop Lee,Fairyland (Number 57),회화,민간기증,1956,뉴욕현대미술관,한국,
이중섭,Joong Seop Lee,People Reading the Newspaper (Number 84),회화,민간기증,1956,뉴욕현대미술관,한국,
이진,Jin Lee,Abbot Hyegak's dancheong patterns,사진,공공 기증,1993,시카고 미술관,,
이진,Jin Lee,Allegory of a Moon Jar III,사진,공공 기증,1995,시카고 미술관,,
이진,Jin Lee,Allegory of a Moon Jar II,사진,공공 기증,2000,시카고 미술관,,
이진,Jin Lee,Allegory of a Moon Jar I,사진,민간 기금,1994,시카고 미술관,,
이진,Jin Lee,White-Robed Water-Moon Avalokiteshvara (Gwaneum bosal),사진,민간 기금,1994,시카고 미술관,,
이진,Jin Lee,Neo-Confucian Family Precepts,사진,민간 기금,1994,시카고 미술관,,
이항성,Lee Hang Sung,Purity,판화,민간기증,1991,허버트 존슨 미술관,,
이항성,Lee Hang Sung,Mysterious Echo,판화,민간기증,1991,허버트 존슨 미술관,,
이항성,Lee Hang Sung,Mysterious Echo,판화,민간기증,2001,허버트 존슨 미술관,,
이항성,Lee Hang Sung,Purity,판화,민간기증,2001,허버트 존슨 미술관,,
이환권,Yi Hwan Kwon,"Prescient Partners: Alex Lin, Bong Lee, and Alexander Ho, from the series Jangdokdae",조각,민간기증,2016,허버트 존슨 미술관,,
임충섭,Choong-Sup Lim,Coop II,조각,민간기증,1995,메트로폴리탄,,
장연순,Chang Yeon Soon,Neo-Confucian Family Precepts,섬유/조각/설치,민간 기금,2017,시카고 미술관,한국,
장우성,Chang Woo-song,Wisteria,회화,민간기증,2004,허버트 존슨 미술관,한국,
정상화,Chung Sang-Hwa,Cave of Enlightenment,회화,민간 기증(사전),2016,시카고 미술관,,
정연두,Yeondoo Jung,“Wannabe”—Singer,-,민간기증,2016,허버트 존슨 미술관,한국,
조성희,Jo Sung-hee,End of Animal,미디어,-,-,뉴욕현대미술관,,
조승호,Seoungho Cho,Cold Pieces 2,미디어,-,2002,뉴욕현대미술관,미국,
조인선,Insun Cho,Nine Dragon Falls,사진/프린트,작가 기증,2006,시카고 미술관,,
